"Nome_u"	"Dia_P"	"Mes_P"	"Ano_P"	"Cidade"	"Estado"	"Mes_exp"	"Ano_exp"	"Comentario"
"1"	"RossanaBeck"	"19"	"agosto"	"2019"	"Rio Janeiro"	"RJ"	"setembro"	"2019"	"Como todos os outros fervedouros, cada um com seu charme e cor de água diferente e sempre cristalinas"
"2"	"cali2012_13"	"15"	"agosto"	"2019"	"Porto Alegre"	"RS"	"julho"	"2019"	"Como todos os fervedouros que visitamos,  este é mais um delicioso. Água quentinha, a gente sente o borbulhar da água que está brotando."
"3"	"rpgamorim"	"5"	"agosto"	"2019"	"São Paulo"	"SP"	"julho"	"2019"	"O fervedouro é lindo, o local otimo e o acesso nao é tao dificil (mas precisa de 4x4). Ficamos mais de 1 hora,muito proveitoso. "
"4"	"barbaraendo"	"28"	"julho"	"2019"	"São Paulo"	"SP"	"julho"	"2019"	"Esse fervedouro foi um dos mais bonitos que visitei. A água era bem cristalina, as fotografias ficaram incríveis. A entrada é paga (não me lembro quanto pois estava no meu pacote).Lembrete: não pode usar protetor solar, bronzeador e nem repelente..."
"5"	"Thiago22"	"12"	"julho"	"2019"	"Brasília"	"DF"	"março"	"2019"	"Um dos maiores fervedouros que vistamos. É muito bonito e excelente para relaxar. Se vcs derem sorte de estar vazio, podem ficar mais algum tempo. Indico!"
"6"	"Camila Fernanda H"	"25"	"junho"	"2019"	"Santa Bárbara d'Oeste"	"SP"	"junho"	"2019"	"O fervedouro eh grande e bem bonito. Da para aproveitar bastante a sensação de flutuar, assim como da ótimas fotos."
"7"	"Adriapena"	"24"	"junho"	"2019"	"Estado São"	"Paulo"	"junho"	"2019"	"Vale a pena conhecer este lugar fantástico e não afunda mesmo!Cada fervedouro tem uma tonalidade de água. "
"8"	"GAIDOZ"	"13"	"abril"	"2019"	"Santo André"	"SP"	"abril"	"2019"	"Ficar 30 minutos curtindo o Fervedouro é muito bom!!Tudo bem que todos são iguais, nas conhecê-los faz parte da tour do Jalapão.A cor da água e a beleza é demais!"
"9"	"Jorlan F"	"16"	"janeiro"	"2019"	"Brasília"	"DF"	"fevereiro"	"2018"	"A experiência de estar flutuando é muito legal! Outra atração que não se pode deixar de conhecer no Jalapão."
"10"	"25rosefernandes"	"8"	"janeiro"	"2019"	"Santo André"	"SP"	"janeiro"	"2019"	"Visitamos 8 fervedouros durante nossa passagem por Mateiros e São Félix. Apesar de todos serem pagos e ter tempo determinado para ficar, recomendo que se vá em todos,  pois cada um tem sua particularidade e causa sensações diferentes. O do Ceiça, Entre Rios e Macaúba são mais fortes de pressão.  O Buritizinho é o mais fundo e mais lindo. O do Sono, Buriti, Bela Vista e Alecrim são mais tranquilos e maiores.Abaixo são as fotos do Fervedouro do Rio do Sono ou Soninho e do Macaúba, nesses dois tivemos a sorte de poder ficar bastante tempo. "
"11"	"Gilberto P"	"28"	"agosto"	"2018"	"Sete Lagoas"	"MG"	"maio"	"2018"	"Quem não conhece estranha este tipo de fenômeno da natureza, onde se é atraído para o fundo das águas, porém chega um momento que paramos e não se afunda. Maravilha!"
"12"	"Vera S"	"27"	"junho"	"2018"	NA	NA	"junho"	"2018"	"Um fervedouro no Jalapão é um fenômeno extradordinário: numa vereda tropical abre-se, no verde da mata, uma clareira: um olho azul com uma (ou mais de uma) pupila efervescente. Trata-se de uma nascente de água de rocha que revolve a areia em um turbilhão, promovendo uma imagem de erupção vulcânica. A experiência visual é fantástica, mas a coisa não para por aí: você pode caminhar pela areia movediça que - acredite! - dá sustentação ao corpo, de modo que você anda como que numa nuvem de algodão doce, enterrando a perna até o joelho, porém sem tocar os pés no fundo. É sen-sa-cio-nal!!!São muitos os fervedouros, cada um com a sua característica. Vale a pena visitá-los todos.Só quero deixar aqui um alerta, na esperança de que algo se faça para socorrer dois fervedouros: os do Salto e do Buritizinho estão seriamente ameaçados.O primeiro já perdeu toda a sua borda ciliar e a tendência ao desmoronamento das margens parece incontrolável; o segundo, ainda tem a borda ciliar (graças a Deus!), mas o entorno está tão pisoteado e tão maltratado que logo logo vai seguir o caminho do Salto.Quem puder, por favor, proponha aos respectivos proprietários que consultem um biólogo da NATURATINS e peçam orientação para salvar seus fervedouros: patrimônio da humanidade (meu critério) e fonte de riqueza permanente para eles e suas famílias!"
"13"	"Cristina V"	"4"	"junho"	"2018"	"Santos"	"SP"	"janeiro"	"2017"	"Reconhecido ponto turístico de Tocantins, esse local de natureza intacta e rara é imperdível. Suas águas que não nos permitem afundar são incríveis. Vale pela beleza e pelo inusitado. "
"14"	"estelapienaro"	"28"	"maio"	"2018"	"Balsa Nova"	"PR"	"maio"	"2018"	"Lugar Incrível, água muito boa, a vontade é de ficar o dia todo dentro do fervedouro, sensacional..."
"15"	"Lorhane B"	"10"	"maio"	"2018"	NA	NA	"maio"	"2018"	"Top 10... Lugar muito lindo.Apaixonante <U+2764><U+2764><U+2764>Pessoas muito receptiva, comida maravilhosa"
"16"	"ignez donizetti m"	"30"	"abril"	"2018"	"São José dos Campos"	"SP"	"abril"	"2018"	"Lindo local, muita vegetacão, acesso para entrar na água. Olhos de água que não deixam vc afundar. Muito interessante. Excelente pra banhos."
"17"	"Cassio M"	"20"	"fevereiro"	"2018"	"Salvador"	"BA"	"março"	"2017"	"O nome Fervedouro se dá pois às águas transparentes e límpidas, brota do chão a nascente, levantando areia que parece estar fervendo. Não apenas lindo e curioso, mas a beleza natural do entorno bem como a máxima \"não afunda nem que queira\", tente descobrir!!! É uma experiência extraordinária estar nestas mesmas águas, que são praticamente minerais de tão transparentes."
"18"	"Vivian Bonalume... Y"	"4"	"janeiro"	"2018"	"São José do Rio Preto"	"SP"	"novembro"	"2017"	"Aproveite os fervedouros! Este foi o primeiro que fomos. Lindo demais!!! Água gelada, mas logo se acostuma!"
"19"	"danimori"	"3"	"janeiro"	"2018"	"São Paulo"	"SP"	"dezembro"	"2017"	"Vale visitar assim como todos os Fervedouros da região. É lindo, da vontade de ficar um dia se banhando mas há tempo limite para ficar pois há muitos visitantes. Como todos os fevredouros, vale conferir e encontrar a característica desse."
"20"	"72wendellr"	"18"	"dezembro"	"2017"	"Taubaté"	"SP"	"dezembro"	"2017"	"Os fervedouros são incríveis. São fontes de água que formam um lago de água cristalina.Tem uma areia movediça no fundo, só que não é possível afundar, pois a água jogo a gente pra cima."
"21"	"asjanuario"	"1"	"novembro"	"2017"	NA	NA	"outubro"	"2017"	"Não é possível que exista algo tão linda assim. Ainda estou chocada com a beleza deste lugar. Todos precisam conhecer!"
"22"	"Teresa M"	"19"	"outubro"	"2017"	"Brasília"	"DF"	"setembro"	"2017"	"Banho em fervedouro é uma experiência singular sobre o que você provavelmente vai comentar com outra pessoa que tenha visitado o Jalapão. O banho é inesquecível. A sensação de estar em cima de uma água sob pressão que você não vê o fundo, não dá pé, mas também não afunda e vê peixinhos nadando de tão límpida que é a água é única e deliciosa depois das andanças sob o sol do Jalapão. Este fervedouro, o Rio Sono, é muito bonitinho, bem cuidado e fica pertinho do restaurante de mesmo nome que serve uma comida caseira com uma cachaça de murici, especial!!"
"23"	"RosangelaS150"	"3"	"outubro"	"2017"	NA	NA	"agosto"	"2017"	"o Fervedouro dos Buritis, que se localiza a 18 Km da cidade de Mateiros. tem um caminho de madeira até o fervedouro, que facilita o acesso. Sua piscina é um pouco maior, com capacidade para  10 pessoas, que podem entrar e se divertir por 20 minutos. O custo do ingresso é R$ 15,00.  A pressão da nascente não é tão acentuada como o do Ceiça, bem mais leve,  é cercado por bananeiras e muitos buritis que originou o nome. As águas são cristalinas, transparentes e dependendo do sol, com sua incidência fica com uma coloração azulada e na sombra, um tom lindo do verde e não tem como não se encantar. Foi muito divertido, fiquei 40 minutos e aproveitei muito. Eu super recomendo, com certeza todos irão gostar."
"24"	"MarciaRSyl"	"23"	"setembro"	"2017"	"São Paulo São"	"Paulo"	"julho"	"2017"	"Cada fervedouro tem seu charme, seu encanto. Não são todos iguais; a natureza ao redor, o formato, o diâmetro, visite todos!"
"25"	"paraiso307"	"12"	"setembro"	"2017"	"Camboriú"	"SC"	"setembro"	"2017"	"todos os fervedouros que eu fui não da para dizer qual deles e o mais bonito, tem que levar uma maquina para tirar fotos em baixo da agua para ver a transparência e muito lindo, sem contar que não afunda e uma sensação incrível."
"26"	"mvwturismo"	"18"	"agosto"	"2017"	"São Vicente"	"SP"	"agosto"	"2017"	"Como os demais? Lindo, espetacular e fabuloso. Vale a pena conhecer e aproveitar o tempo, como nos demais. Tirem bastante fotos aquáticas,."
"27"	"Ylanna V"	"20"	"junho"	"2017"	NA	NA	"junho"	"2017"	"Lindos os fervedouros do Jalapão.são vários a serem visitados; em sua maioria, é cobrado taxa para acesso ao banho, em torno de $10-$20."
"28"	"PaulaMimary"	"24"	"maio"	"2017"	"São Paulo"	"SP"	"maio"	"2017"	"Além de ser uma paisagem magnífica, a sensação de não afundar devido à força da água é realmente incrível. Imaginar que há no mínimo 20 metros de profundidade e não conseguir afundar, é mesmo fantástico."
"29"	"heloisas120"	"20"	"maio"	"2017"	"Florianópolis Santa"	"Catarina"	"dezembro"	"2016"	"É surpreendente!Independente da força e profundidade não dá para afundar.A água transparente é um oásis no meio do calor do Jalapão."
"30"	"JoseMarcioCerqueira"	"21"	"abril"	"2017"	"Brasília"	"DF"	"abril"	"2017"	"Não há nada que se compare aos fervedouros. São minas d'água que saem em locais com uma areia fininha. Você não afunda e é muito diferente ficar naquela mistura de água cristalina com areia. Muito diferente mesmo. Super vale a pena"
"31"	"Fádia R"	"28"	"fevereiro"	"2017"	"Brasília"	"DF"	"abril"	"2016"	"Este como qualquer outro fervedouro no Jalapão é imperdível!Uma fator é importantíssimo: NÃO visite o Jalapão em feriados prolongados e similares, o paraíso pode virar inferno. A entrada nos fervedouros, por exemplo, é controlada por grupos pequenos, que podem permanecer neles cerca de 20 min, fomos fora de temporada e foi perfeito."
"32"	"Thiago S"	"2"	"dezembro"	"2016"	NA	NA	"novembro"	"2016"	"Todos os fervedouros tem uma magia incrivel, a tonalidade da água, a profundidade e não afundar, é simplesmente incrível. Vale ressaltar que a viagem para o Jalapão não é pra qualquer um, pois, todas as estradas são sem asfalto, o ideal é um carro 4x4."
"33"	"Renata P"	"23"	"novembro"	"2016"	NA	NA	"agosto"	"2016"	"Lugar paradisíaco. Agua não é muito gelada e é cristalina. Nunca tinha entrado num fervedouro. Você vê as borbulhas na água. Parece areia movediça. "
"34"	"FeCini"	"5"	"novembro"	"2016"	"São Paulo"	"SP"	"julho"	"2016"	"Esse fervedouro, como todos os outros, cobra entrada. O valor não é alto e tem um período máximo para ficar lá dependendo da quantidade de turistas. Esse é o melhor fervedouro na minha opinião pq não afunda mesmo. Fiquei impressionada. Ainda vc ganha uma massagem já que a força da água joga areia nas suas pernas. Amei."
"35"	"Gisamar"	"31"	"outubro"	"2016"	"São Paulo"	"SP"	"novembro"	"2015"	"Um dos lugares mais incríveis que já estive. Achei absolutamente espetacular.  Não tem infraestrutura e também nem precisa.  O lugar é lindo demais e acredito que seja uma obrigação incluir no roteiro."
"36"	"Mari_Rocha"	"22"	"outubro"	"2016"	"Brasília"	"DF"	"outubro"	"2016"	"Acho que todo mundo precisa experimentar um fervedouro, a flutuação é algo indescritível. Quando entramos na água voltamos a ser crianças."
"37"	"V3685XFsimoneb"	"14"	"outubro"	"2016"	NA	NA	"outubro"	"2016"	"Este fervedouro é muito agradável e estar aqui é uma benção! Existem vários fervedouros no jalapão e todos são imperdíveis. Existe um tempo máximo de 20 minutos e número máximo de pessoas por entrada."
"38"	"dkishi"	"8"	"outubro"	"2016"	"São José dos Campos"	"SP"	"outubro"	"2016"	"Fervedouro muito gostoso ! Ele é grande e forte. Pena que estava chovendo hoje! Acabamos por almoçar lá do lado. Recomendo a visita"
